MODIND,ManagedElementType,SubNetwork,ManagedElement,NE_Name,ldn,moId,userLabel,mbsSwitch,masterOperatorId,cityLabel,cellLocalId,nrCarrierGroupId,duMeMoId,nrPhysicalCellDUId,operatorPriority,plmnIdList,pciReuseLayers,pciReuseDistance,pciSectionID,sonModifyPciSwitch,longitude,latitude,azimuth,altitude,testState,reserved61,reserved62,reserved63,reserved64,reserved65,reserved66,reserved67,reserved68,reserved69,reserved70,reserved71,reserved72,reserved73,reserved74,reserved75,reserved76,reserved77,reserved78,reserved79,reserved80,reserved98,reserved99,reserved100
,ITBBU,321363,13583939,SQ5GZTB沭阳_沭阳贤官支局BBU4,GNBCUCPFunction=460-11_13583939，NRCellCU=1027,1027,SQ5GZTB沭阳_沭阳贤官工业园_AA_1027,关闭[0],46011-13583939-1027,SQ,1027,4,13583939,4,0,460-11,4,3000,0,打开[1],118.7432,34.2121,30,44,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584410,SQ5GZTB沭阳_沭阳一分局BBU19,GNBCUCPFunction=460-01_13584410，NRCellCU=1035,1035,SQ5GZTB沭阳_沭阳大江饭店2F印咸书局室分_AA_1035,关闭[0],46011-13584410-1035,SQ,1035,12,13584410,12,0,460-01,4,3000,0,打开[1],118.7811,34.12761,0,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584064,SQ5GZTB沭阳_沭阳潼阳支局BBU2,GNBCUCPFunction=460-01_13584064，NRCellCU=1029,1029,SQ5GZTB沭阳_沭阳潼阳工业园_AA_1029,关闭[0],46011-13584064-1029,SQ,1029,6,13584064,6,0,460-01,4,3000,0,打开[1],118.63161,34.26601,270,34,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584417,SQ5GZTB沭阳_沭阳茆圩支局BBU2,GNBCUCPFunction=460-11_13584417，NRCellCU=1029,1029,SQ5GZTB沭阳_沭阳茆圩苗圩新村_AA_1029,关闭[0],46011-13584417-1029,SQ,1029,6,13584417,6,0,460-11,4,3000,0,打开[1],118.6867,34.30112,220,36,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584414,SQ5GZTB沭阳_沭阳七雄支局BBU3,GNBCUCPFunction=460-01_13584414，NRCellCU=1028,1028,SQ5GZTB沭阳_沭阳七雄洪庄_AA_1028,关闭[0],46011-13584414-1028,SQ,1028,5,13584414,5,0,460-01,4,3000,0,打开[1],118.867,34.114,140,39,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583898,SQ5GZTB沭阳_沭阳章顶接入网BBU6,GNBCUCPFunction=460-01_13583898，NRCellCU=1,1,SQ5GZTB沭阳_沭阳污水处理厂_AA_1,关闭[0],46011-13583898-1,SQ,1,1,13583898,1,0,460-01,4,3000,0,打开[1],118.8275,34.14371,0,44,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584064,SQ5GZTB沭阳_沭阳潼阳支局BBU2,GNBCUCPFunction=460-01_13584064，NRCellCU=1033,1033,SQ5GZTB沭阳_沭阳潼阳后草_AA_1033,关闭[0],46011-13584064-1033,SQ,1033,10,13584064,10,0,460-01,4,3000,0,打开[1],118.6143,34.29188,50,48,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584064,SQ5GZTB沭阳_沭阳潼阳支局BBU2,GNBCUCPFunction=460-11_13584064，NRCellCU=1034,1034,SQ5GZTB沭阳_沭阳潼阳后草_AA_1034,关闭[0],46011-13584064-1034,SQ,1034,11,13584064,11,0,460-11,4,3000,0,打开[1],118.6143,34.29188,170,48,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584064,SQ5GZTB沭阳_沭阳潼阳支局BBU2,GNBCUCPFunction=460-11_13584064，NRCellCU=1033,1033,SQ5GZTB沭阳_沭阳潼阳后草_AA_1033,关闭[0],46011-13584064-1033,SQ,1033,10,13584064,10,0,460-11,4,3000,0,打开[1],118.6143,34.29188,50,48,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584064,SQ5GZTB沭阳_沭阳潼阳支局BBU2,GNBCUCPFunction=460-01_13584064，NRCellCU=1034,1034,SQ5GZTB沭阳_沭阳潼阳后草_AA_1034,关闭[0],46011-13584064-1034,SQ,1034,11,13584064,11,0,460-01,4,3000,0,打开[1],118.6143,34.29188,170,48,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584064,SQ5GZTB沭阳_沭阳潼阳支局BBU2,GNBCUCPFunction=460-11_13584064，NRCellCU=1035,1035,SQ5GZTB沭阳_沭阳潼阳后草_AA_1035,关闭[0],46011-13584064-1035,SQ,1035,12,13584064,12,0,460-11,4,3000,0,打开[1],118.6143,34.29188,290,48,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583010,SQ5GZTB沭阳_沭阳章顶接入网BBU2,GNBCUCPFunction=460-11_13583010，NRCellCU=6,6,SQ5GZTB沭阳_沭阳亿达木业_AA_6,关闭[0],46011-13583010-6,SQ,6,4,13583010,6,0,460-11,4,3000,0,打开[1],118.8269,34.13417,240,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584409,SQ5GZTB沭阳_沭阳扎下支局BBU7,GNBCUCPFunction=460-01_13584409，NRCellCU=1029,1029,SQ5GZTB沭阳_沭阳扎下冯徐联通_AA_1029,关闭[0],46011-13584409-1029,SQ,1029,6,13584409,6,0,460-01,4,3000,0,打开[1],118.78748,34.19081,260,58,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584409,SQ5GZTB沭阳_沭阳扎下支局BBU7,GNBCUCPFunction=460-11_13584409，NRCellCU=1026,1026,SQ5GZTB沭阳_沭阳扎下沈魏_AA_1026,关闭[0],46011-13584409-1026,SQ,1026,3,13584409,3,0,460-11,4,3000,0,打开[1],118.74222,34.18979,200,48,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
